wkt_geom	id
-70.83091448640193732,-33.39025034725165852	
-70.74740108050713161,-33.36810067163944638	
-70.72097446862456138,-33.41668485552628454	
-70.71098814000703214,-33.45712751323885925	
-70.7605352898536637,-33.48506070272637203	
-70.7954333592647771,-33.49887326107629093	
-70.82841381664691482,-33.46373759248071167	
-70.69139618040796336,-33.46643667466847205	
-70.63660751847767472,-33.46867903013105661	
-70.59449594524301119,-33.42703921209557194	
-70.5761767104354476,-33.4076856001050615	
-70.54576885553784393,-33.4152253813929363	
-70.5496755709263681,-33.4581192233252267	
-70.58650474897473259,-33.5062455738218361	
-70.63400316544972668,-33.52144860055650355	
-70.67724389153022457,-33.50166001277624162	
-70.65924641553871766,-33.47741830072231295	
-70.64773394690097064,-33.46288138637132192	
-70.67357803312475539,-33.40452630740146134	
-70.65243928725206501,-33.37919516000448539	
-70.57925794874537928,-33.37939468083205696	
-70.49910827629598487,-33.36607431352948083	
-70.50304083150862766,-33.41198358630323639	
-70.51482635579158398,-33.46985072045270471	
-70.53183907600826785,-33.51710422453649585	
-70.55831474727398245,-33.53899825437930815	
-70.65424488740426057,-33.54528714399366862	
-70.73241274952039248,-33.54007450664435197	
-70.76323401729166562,-33.52946931907659689	
-70.80038026579974542,-33.52064810483594215	
-70.82232141278900883,-33.49471395485687708	
-70.7771088161137385,-33.48218739812149636	
-70.72182052803697161,-33.4140363678738268	
-70.76465296854017595,-33.39987404658911885	
-70.7772324346439774,-33.35600011162890866	
-70.76519298512037892,-33.38216260613022257	
-70.70696607838863201,-33.43533568910766718	
-70.72330439295900817,-33.46637376462192037	
-70.49910827629598487,-33.36607431352948083	
-70.77826011010961338,-33.36238889229868221	
-70.73758004351975615,-33.37087531095065884	
-70.67452044968581504,-33.38341936167159929	
-70.65728534467548627,-33.39796474730487574	
-70.66362451230220643,-33.42424767714966549	
-70.60190345684507918,-33.4389976929237065	
-70.55223022441070668,-33.42493863119498343	
-70.5424255445653472,-33.40396625988680768	
-70.56267594505004581,-33.38111136251666267	
-70.55925803940091612,-33.36570997238663239	
-70.56805879662886127,-33.35580510154216682	
-70.60059804592009414,-33.34333572214301	
-70.61521728413480048,-33.33297576681569296	
-70.62139359577527387,-33.32724492527949423	
-70.66693942336809187,-33.33907260200630418	
-70.67311061379788839,-33.35669381029597957	
-70.67131337273174552,-33.38007244745681135	
-70.69090638708060226,-33.39487428374068401	
-70.72273347065932114,-33.414777045990391	
-70.70998451854893574,-33.42889057464665825	
-70.69451697991793537,-33.4189325655275411	
-70.6612713963666863,-33.41862899067458414	
-70.62248894496590879,-33.43458649266293037	
-70.63709553654686601,-33.44682503458144396	
-70.64549454740104295,-33.46328781897023674	
-70.66722693492036456,-33.47166100086503349	
-70.68984019575883337,-33.47888824451830203	
-70.70295311387887693,-33.4828521521108442	
-70.73280780291781866,-33.49223171581321878	